"","StationID","New_Lat","New_Long","NAME"
"110","111PS0160",39.44612,-123.02926,"Lake"
"111","111PS0169",40.5829325,-123.98764,"Humboldt"
"112","111PS0178",40.6800425,-123.95064,"Humboldt"
"113","111PS0204",39.2769337,-122.86581,"Lake"
"114","111PS0237",40.33346505,-123.4650096,"Trinity"
"115","111RSCAER",39.9877222,-123.05062,"Trinity"
"116","111TGCAER",39.3956853,-122.86374,"Lake"
"117","111WE0816",39.5874056,-122.91817,"Mendocino"
"118","111WE1050",39.7114702,-122.84193,"Glenn"
"119","111WE1071",39.7005337,-122.81255,"Glenn"
"120","111WER003",39.5381653,-122.8613,"Lake"
"121","111WER008",39.4936568,-122.86392,"Lake"
"122","111WER159",39.4293679,-122.84518,"Lake"
"123","112PS0157",40.2318936,-124.11228,"Humboldt"
"124","113GAR010",38.8373627,-123.54676,"Mendocino"
"125","113GAR011",38.891405,-123.4558,"Mendocino"
"126","113GAR015",38.8931351,-123.50899,"Mendocino"
"127","113GAR030",38.8701823,-123.56664,"Mendocino"
"128","113GAR038",38.8391981,-123.53473,"Mendocino"
"129","113GAR046",38.8557845,-123.56358,"Mendocino"
"130","113GAR061",38.8839311,-123.59204,"Mendocino"
"131","113GAR062",38.8596418,-123.54839,"Mendocino"
"132","113GAR084",38.9265675,-123.62855,"Mendocino"
"133","113GAR087",38.9081323,-123.48967,"Mendocino"
"134","113GAR089",38.9081704,-123.35105,"Mendocino"
"135","113GAR094",38.8628504,-123.56834,"Mendocino"
"136","113GAR105",38.8995896,-123.39059,"Mendocino"
"137","113GAR110",38.8552976,-123.56028,"Mendocino"
"138","113GAR112",38.9248844,-123.49051,"Mendocino"
"139","113GAR118",38.8426575,-123.54952,"Mendocino"
"140","113GAR178",38.8749038,-123.49378,"Mendocino"
"141","113GAR244",38.9315862,-123.59243,"Mendocino"
"142","113PS0012",39.2577361,-123.50874,"Mendocino"
"143","113PS0076",38.9363703,-123.50043,"Mendocino"
"144","113PS0084",39.4060874,-123.71299,"Mendocino"
"145","113PS0100",39.3182046,-123.63071,"Mendocino"
"146","113PS0120",39.1507359,-123.63595,"Mendocino"
"147","113PS0132",39.5566601,-123.72353,"Mendocino"
"148","113PS0168",38.7536289,-123.40457,"Sonoma"
"149","113PS0196",39.5439544,-123.6553,"Mendocino"
"150","113PS0216",38.51536858,-123.2422148,"Sonoma"
"151","113PS0232",38.66792741,-123.3099517,"Sonoma"
"152","113PS0268",39.15614643,-123.4592251,"Mendocino"
"153","113RG8046",38.4757678,-123.15212,"Sonoma"
"154","114AU7778",38.5872353,-123.11801,"Sonoma"
"155","114CE0131",38.7908601,-123.19624,"Sonoma"
"156","114CR0903",38.81626966,-123.0111917,"Sonoma"
"157","114FCA199",38.8296335,-122.90837,"Sonoma"
"158","114MA2364",38.6305657,-122.76807,"Sonoma"
"159","114PS0088",38.5572989,-123.09358,"Sonoma"
"160","114PS0145",38.8936121,-123.07017,"Mendocino"
"161","114PS0149",38.4340999,-122.67607,"Sonoma"
"162","114PS0152",38.4634283,-123.00882,"Sonoma"
"163","114PS0209",38.78600112,-123.155201,"Sonoma"
"164","114PS0229",38.61538062,-122.7839078,"Sonoma"
"165","114WE0614",38.5391692,-123.07191,"Sonoma"
"166","114WER118",38.5920087,-123.07044,"Sonoma"
"167","115EBAG01",38.3461333,-122.91535,"Sonoma"
"168","115SALG01",38.3434928,-122.95896,"Sonoma"
"169","201AHO350",37.9447607,-122.74297,"Marin"
"170","201CHE300",38.0394499,-122.7418,"Marin"
"171","201LAG190",38.0295397,-122.73625,"Marin"
"172","201LAG335",37.9917933,-122.66195,"Marin"
"173","201LAG380",37.9674509,-122.65414,"Marin"
"174","201MRS020",37.9196808,-122.66952,"Marin"
"175","201RDW080",37.8769478,-122.5811,"Marin"
"176","202BUT030",37.224863,-122.33258,"San Mateo"
"177","202BUT040",37.2413177,-122.31696,"San Mateo"
"178","202BUT050",37.2092356,-122.33267,"San Mateo"
"179","202BUT480",37.213486,-122.31451,"San Mateo"
"180","202BUT600",37.2152307,-122.30854,"San Mateo"
"181","202BUT850",37.2266,-122.2412,"San Mateo"
"182","202DRY010",37.3592,-122.3912,"San Mateo"
"183","202LAH950",37.3887289,-122.28286,"San Mateo"
"184","202MIC150",37.452,-122.392,"San Mateo"
"185","202PES162",37.2691585,-122.26407,"San Mateo"
"186","202PES168",37.2617,-122.2408,"San Mateo"
"187","202PS0246",37.46254652,-122.374612,"San Mateo"
"188","202R00024",37.3247,-122.2467,"San Mateo"
"189","202R00072",37.5148391,-122.38632,"San Mateo"
"190","202R00087",37.6447,-122.4801,"San Mateo"
"191","202R00248",37.3203,-122.3398,"San Mateo"
"192","202R00280",37.2935,-122.2189,"San Mateo"
"193","202R00284",37.5052,-122.4872,"San Mateo"
"194","202R00908",37.6113,-122.4934,"San Mateo"
"195","202SPE090",37.5750082,-122.46419,"San Mateo"
"196","202TUN600",37.391,-122.368,"San Mateo"
"197","203PS0070",37.990506,-122.59329,"Marin"
"198","203R00983",37.8751,-122.2366,"Alameda"
"199","204AHOACR",37.4615831,-121.76902,"Santa Clara"
"200","204ALA525",37.4961869,-121.76068,"Alameda"
"201","204ALP040",37.696382,-121.81633,"Alameda"
"202","204ARH090",37.451,-121.755,"Santa Clara"
"203","204IND200",37.5620443,-121.79842,"Alameda"
"204","204PS0038",37.7269685,-122.17257,"Alameda"
"205","204PS0094",37.6893169,-121.87579,"Alameda"
"206","204PS0102",37.69796,-122.02884,"Alameda"
"207","204PS0118",37.529357,-122.35871,"San Mateo"
"208","204R00047",37.6883,-122.0726,"Alameda"
"209","204R00063",37.7966,-122.1997,"Alameda"
"210","204R00068",37.6991,-121.8089,"Alameda"
"211","204R00084",37.7009,-121.9255,"Alameda"
"212","204R00100",37.6826,-121.8961,"Alameda"
"213","204R00180",37.5731,-122.3693,"San Mateo"
"214","204R00189",37.3209,-121.6635,"Santa Clara"
"215","204R00191",37.6658,-121.8784,"Alameda"
"216","204R00200",37.5233,-122.3409,"San Mateo"
"217","204R00232",37.4635,-122.2515,"San Mateo"
"218","204R00244",37.4715,-122.2453,"San Mateo"
"219","204R00303",37.6842,-122.0819,"Alameda"
"220","204R00319",37.7994,-122.2182,"Alameda"
"221","204R00327",37.6201,-122.1007,"Alameda"
"222","204R00334",37.6466,-121.7881,"Alameda"
"223","204R00340",37.7022,-121.9207,"Alameda"
"224","204R00356",37.6687,-121.9093,"Alameda"
"225","204R00367",37.6596,-122.0417,"Alameda"
